,YEAR,X,Y,OILDISCOVERED_BINARY,GASDISCOVERED_BINARY
283,2007,652856.5110468395,6448859.508445398,0.0,0.0
284,1998,644813.0260168976,6431301.885137636,1.0,0.0
285,2006,643162.7627612118,6432882.933766763,0.0,0.0
286,1975,661664.1369860366,6443878.940995265,0.0,0.0
287,1981,655451.8029990091,6434454.942476898,1.0,0.0
288,1998,664199.2319041833,6432159.119390616,1.0,1.0
289,1999,656801.5399814367,6432392.257323826,1.0,1.0
290,1978,665996.9507742675,6446723.484883926,0.0,0.0
291,1983,671397.2854691931,6445962.322337115,1.0,0.0
292,1997,672557.7107517648,6440213.712861164,0.0,0.0
293,2011,670057.4731979399,6448046.204914627,1.0,0.0
294,1991,674049.3784180698,6434616.829404749,0.0,0.0
295,1985,698119.0663859848,6535994.208329485,0.0,0.0
296,1971,713637.8909688785,6540350.098669292,0.0,0.0
297,1978,684559.7568979657,6508266.425938338,0.0,0.0
298,1977,692303.2662589406,6515136.1636647,1.0,0.0
299,1977,704195.2493797533,6513021.495953576,0.0,0.0
300,1992,730754.1089067084,6521684.527744416,0.0,0.0
301,1972,679173.4069403252,6488565.088636454,0.0,0.0
302,1973,679607.3724426636,6492137.779445533,0.0,0.0
303,1974,676409.5236579134,6490245.134133343,1.0,0.0
304,1991,681666.5723515913,6498768.93348596,0.0,0.0
305,1997,685207.3910491627,6493148.109084531,1.0,0.0
306,2008,675726.6765665598,6501791.719188382,0.0,0.0
307,1973,692663.4153044997,6489361.542806281,1.0,0.0
308,1990,691433.5327900706,6506314.349847879,0.0,0.0
309,1987,696790.2902120403,6491828.921990253,0.0,0.0
310,2001,696216.7430961339,6489426.537076284,1.0,0.0
311,2002,696216.7430961339,6489426.537076284,1.0,0.0
312,1974,698756.5064188631,6496108.326410465,0.0,0.0
313,1975,705387.2268713608,6496013.366180724,1.0,0.0
314,1976,703370.1812714296,6497490.384501372,0.0,0.0
315,2008,701866.0976149184,6490208.754170684,1.0,0.0
316,1987,707072.374394462,6496159.867499863,1.0,0.0
317,1987,707072.374394462,6496159.867499863,1.0,0.0
318,2002,705398.1251251339,6496902.16733895,1.0,0.0
319,2008,704416.7972565028,6495708.032555894,0.0,0.0
320,2012,704511.4049513163,6506461.125649026,0.0,0.0
321,1987,705587.7693507173,6501055.66139898,0.0,0.0
322,1990,707570.7601733928,6502697.382575426,1.0,0.0
323,2007,699358.8537718279,6499988.134520459,0.0,0.0
324,1991,714758.4150088415,6499527.454455744,1.0,0.0
325,1988,717563.8238986167,6495935.727993494,0.0,0.0
326,1990,710787.5374593756,6491273.190952411,0.0,0.0
327,1975,727159.0985715459,6491267.090537117,0.0,0.0
328,1974,682070.2448443492,6471449.650573459,1.0,0.0
329,1982,680966.8345662631,6476147.012082099,1.0,0.0
330,2014,680966.8345662631,6476147.012082099,1.0,0.0
331,1975,683696.2465169885,6470121.394313642,0.0,0.0
332,1975,683696.2465169885,6470121.394313642,1.0,0.0
333,1975,680201.4956689404,6472557.374760954,1.0,1.0
